[GIN] 2026/04/07 - 13:53:35 | 200 |       0s |       127.0.0.1 | GET      "/api/state"
[GIN] 2026/04/07 - 13:53:35 | 200 |  540.5µs |       127.0.0.1 | GET      "/api/library/stories"
[GIN] 2026/04/07 - 13:53:35 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 13:53:35 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/4"
[GIN] 2026/04/07 - 13:53:35 | 200 |   1.72ms |       127.0.0.1 | GET      "/api/library/stories/3"
[GIN] 2026/04/07 - 13:53:35 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 13:53:35 | 200 |  503.6µs |       127.0.0.1 | GET      "/api/library/chapters/16/content"
[GIN] 2026/04/07 - 13:53:36 | 200 |   50.5ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:01:51 | 200 |  53.63ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:02:36 | 200 |   47.2ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:02:39 | 200 |  56.58ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:05:23 | 200 | 357.06ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:05:24 | 200 |  82.67ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:11:14 | 200 |  47.23ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:11:14 | 200 |  560.5µs |       127.0.0.1 | GET      "/api/library/chapters/18/content"
[GIN] 2026/04/07 - 14:11:14 | 200 |  560.5µs |       127.0.0.1 | GET      "/api/library/chapters/21/content"
[GIN] 2026/04/07 - 14:11:14 | 200 |   1.07ms |       127.0.0.1 | GET      "/api/library/chapters/17/content"
[GIN] 2026/04/07 - 14:11:14 | 200 |   1.07ms |       127.0.0.1 | GET      "/api/library/chapters/20/content"
[GIN] 2026/04/07 - 14:11:14 | 200 |   1.72ms |       127.0.0.1 | GET      "/api/library/chapters/19/content"
[GIN] 2026/04/07 - 14:11:15 | 200 |  53.05ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:11:15 | 200 |  43.91ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:11:55 | 200 |  48.07ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:12:03 | 200 |  42.64ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:12:09 | 200 |  49.99ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:12:22 | 200 |  51.25ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:12:22 | 200 |  52.66ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:12:23 | 200 |  47.38ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:12:23 | 200 |  55.64ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:12:23 | 200 |  53.46ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:12:23 | 200 |   50.7ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:12:24 | 200 |  55.86ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:12:24 | 200 |  48.24ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:14:47 | 200 | 292.91ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:14:47 | 200 |       0s |       127.0.0.1 | GET      "/api/state"
[GIN] 2026/04/07 - 14:14:47 | 200 |   1.07ms |       127.0.0.1 | GET      "/api/library/stories"
[GIN] 2026/04/07 - 14:14:47 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/4"
[GIN] 2026/04/07 - 14:14:47 | 200 |  761.6µs |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 14:14:48 | 200 |   3.26ms |       127.0.0.1 | GET      "/api/library/stories/3"
[GIN] 2026/04/07 - 14:14:48 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 14:14:48 | 200 |   1.15ms |       127.0.0.1 | GET      "/api/library/chapters/16/content"
[GIN] 2026/04/07 - 14:14:48 | 200 |  43.51ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:15:09 | 200 |  52.61ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:15:09 | 200 |       0s |       127.0.0.1 | GET      "/api/state"
[GIN] 2026/04/07 - 14:15:09 | 200 |  614.1µs |       127.0.0.1 | GET      "/api/library/stories"
[GIN] 2026/04/07 - 14:15:10 | 200 |   2.12ms |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 14:15:10 | 200 |  512.9µs |       127.0.0.1 | GET      "/api/reader/progress/4"
